orderNumber, styleNumber, units, price
100000,5000000,100,20.21
100001,5000001,101,20.22
100002,5000002,102,20.23
100003,5000003,103,20.24
100004,5000004,104,20.25
100005,5000005,105,20.26
100006,5000006,106,20.27
100007,5000007,107,20.28
100008,5000008,108,20.29
100009,5000009,109,20.3
100010,5000010,110,20.31
100011,5000011,111,20.32
100012,5000012,112,20.33
100013,5000013,113,20.34
100014,5000014,114,20.35
100015,5000015,115,20.36
100016,5000016,116,20.37
100017,5000017,117,20.38
100018,5000018,118,20.39
100019,5000019,119,20.4
100020,5000020,120,20.41
100021,5000021,121,20.42
100022,5000022,122,20.43
100023,5000023,123,20.44
100024,5000024,124,20.45
100025,5000025,125,20.46
100026,5000026,126,20.47
100027,5000027,127,20.48
100028,5000028,128,20.49
100029,5000029,129,20.5
100030,5000030,130,20.51
100031,5000031,131,20.52
100032,5000032,132,20.53
100033,5000033,133,20.54
100034,5000034,134,20.55
100035,5000035,135,20.56
100036,5000036,136,20.57
100037,5000037,137,20.58
100038,5000038,138,20.59
100039,5000039,139,20.6
100040,5000040,140,20.61
100041,5000041,141,20.62
100042,5000042,142,20.63
100043,5000043,143,20.64
100044,5000044,144,20.65
100045,5000045,145,20.66
100046,5000046,146,20.67
100047,5000047,147,20.68
100048,5000048,148,20.69
100049,5000049,149,20.7
100050,5000050,150,20.71
100051,5000051,151,20.72
100052,5000052,152,20.73
100053,5000053,153,20.74
100054,5000054,154,20.75
100055,5000055,155,20.76
100056,5000056,156,20.77
100057,5000057,157,20.78
100058,5000058,158,20.79
100059,5000059,159,20.8
100060,5000060,160,20.81
100061,5000061,161,20.82
100062,5000062,162,20.83
100063,5000063,163,20.84
100064,5000064,164,20.85
100065,5000065,165,20.86
100066,5000066,166,20.87
100067,5000067,167,20.88
100068,5000068,168,20.89
100069,5000069,169,20.9
100070,5000070,170,20.91
100071,5000071,171,20.92
100072,5000072,172,20.93
100073,5000073,173,20.94
100074,5000074,174,20.95
100075,5000075,175,20.96
100076,5000076,176,20.97
100077,5000077,177,20.98
100078,5000078,178,20.99
100079,5000079,179,21
100080,5000080,180,21.01
100081,5000081,181,21.02
100082,5000082,182,21.03
100083,5000083,183,21.04
100084,5000084,184,21.05
100085,5000085,185,21.06
100086,5000086,186,21.07
100087,5000087,187,21.08
100088,5000088,188,21.09
100089,5000089,189,21.1
100090,5000090,190,21.11
100091,5000091,191,21.12
100092,5000092,192,21.13
100093,5000093,193,21.14
100094,5000094,194,21.15
100095,5000095,195,21.16
100096,5000096,196,21.17
100097,5000097,197,21.18
100098,5000098,198,21.19
100099,5000099,199,21.2
100100,5000100,200,21.21
100101,5000101,201,21.22
100102,5000102,202,21.23
100103,5000103,203,21.24
100104,5000104,204,21.25
100105,5000105,205,21.26
100106,5000106,206,21.27
100107,5000107,207,21.28
100108,5000108,208,21.29
100109,5000109,209,21.3
100110,5000110,210,21.31
100111,5000111,211,21.32
100112,5000112,212,21.33
100113,5000113,213,21.34
100114,5000114,214,21.35
100115,5000115,215,21.36
100116,5000116,216,21.37
100117,5000117,217,21.38
100118,5000118,218,21.39
100119,5000119,219,21.4
100120,5000120,220,21.41
100121,5000121,221,21.42
100122,5000122,222,21.43
100123,5000123,223,21.44
100124,5000124,224,21.45
100125,5000125,225,21.46
100126,5000126,226,21.47
100127,5000127,227,21.48
100128,5000128,228,21.49
100129,5000129,229,21.5
100130,5000130,230,21.51
100131,5000131,231,21.52
100132,5000132,232,21.53
100133,5000133,233,21.54
100134,5000134,234,21.55
100135,5000135,235,21.56
100136,5000136,236,21.57
100137,5000137,237,21.58
100138,5000138,238,21.59
100139,5000139,239,21.6
100140,5000140,240,21.61
100141,5000141,241,21.62
100142,5000142,242,21.63
100143,5000143,243,21.64
100144,5000144,244,21.65
100145,5000145,245,21.66
100146,5000146,246,21.67
100147,5000147,247,21.68
100148,5000148,248,21.69
100149,5000149,249,21.7
100150,5000150,250,21.71
100151,5000151,251,21.72
100152,5000152,252,21.73
100153,5000153,253,21.74
100154,5000154,254,21.75
100155,5000155,255,21.76
100156,5000156,256,21.77
100157,5000157,257,21.78
100158,5000158,258,21.79
100159,5000159,259,21.8
100160,5000160,260,21.81
100161,5000161,261,21.82
100162,5000162,262,21.83
100163,5000163,263,21.84
100164,5000164,264,21.85
100165,5000165,265,21.86
100166,5000166,266,21.87
100167,5000167,267,21.88
100168,5000168,268,21.89
100169,5000169,269,21.9
100170,5000170,270,21.91
100171,5000171,271,21.92
100172,5000172,272,21.93
100173,5000173,273,21.94
100174,5000174,274,21.95
100175,5000175,275,21.96
100176,5000176,276,21.97
100177,5000177,277,21.98
100178,5000178,278,21.99
100179,5000179,279,22
100180,5000180,280,22.01
100181,5000181,281,22.02
100182,5000182,282,22.03
100183,5000183,283,22.04
100184,5000184,284,22.05
100185,5000185,285,22.06
100186,5000186,286,22.07
100187,5000187,287,22.08
100188,5000188,288,22.09
100189,5000189,289,22.1
100190,5000190,290,22.11
100191,5000191,291,22.12
100192,5000192,292,22.13
100193,5000193,293,22.14
100194,5000194,294,22.15
100195,5000195,295,22.16
100196,5000196,296,22.17
100197,5000197,297,22.18
100198,5000198,298,22.19
100199,5000199,299,22.2
100200,5000200,300,22.21
100201,5000201,301,22.22
100202,5000202,302,22.23
100203,5000203,303,22.24
100204,5000204,304,22.25
100205,5000205,305,22.26
100206,5000206,306,22.27
100207,5000207,307,22.28
100208,5000208,308,22.29
